Item,Quantity,Cost,Price,Vendor,PMP EXTENDED PRICING,CLIENT EXTENDED PRICING,PROFIT MARGIN,UPDATED?,Old Cost
Insertion - 2000,2000,N/A,$0.10,,,$200.00,,,
Insertion - 5000,5000,N/A,$0.10,,,$500.00,,,
Insertion - 10000,10000,N/A,$0.10,,,"$1,000.00",,,
Test Presses - (5),1,N/A,$50.00,,,$50,,,
Obi Application -250,250,N/A,$0.25,,,$62.50,,,
Obi Application -500,500,N/A,$0.25,,,$125.00,,,
Obi Application -1000,1000,N/A,$0.25,,,$250.00,,,
Obi Application -2000,2000,N/A,$0.25,,,$500.00,,,
Obi Application -5000,5000,N/A,$0.25,,,"$1,250.00",,,
Obi Application -10000,10000,N/A,$0.25,,,"$2,500.00",,,
